#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPL14	RPS12	9606.ENSP00000379506	9606.ENSP00000230050	0.051	0	0	0	0.992	0.996	0	0.203	0.999
RPL14	RPS27A	9606.ENSP00000379506	9606.ENSP00000272317	0	0	0	0	0.973	0.995	0	0.218	0.999
RPL14	RPS3	9606.ENSP00000379506	9606.ENSP00000278572	0.185	0	0	0	0.994	0.989	0	0.865	0.999
RPL14	RPS23	9606.ENSP00000379506	9606.ENSP00000296674	0.111	0	0	0	0.982	0.997	0	0.737	0.999
RPL14	RPS9	9606.ENSP00000379506	9606.ENSP00000302896	0.135	0	0	0	0.991	0.995	0	0.713	0.999
RPL14	RPL4	9606.ENSP00000379506	9606.ENSP00000311430	0.111	0	0	0	0.992	0.997	0	0.740	0.999
RPL14	RPS15A	9606.ENSP00000379506	9606.ENSP00000318646	0.135	0	0	0	0.980	0.997	0	0.326	0.999
RPL14	RPS7	9606.ENSP00000379506	9606.ENSP00000339095	0	0	0	0	0.984	0.996	0	0.679	0.999
RPL14	RPL7	9606.ENSP00000379506	9606.ENSP00000339795	0.081	0	0	0	0.995	0.996	0	0.809	0.999
RPL14	RPLP1	9606.ENSP00000379506	9606.ENSP00000346037	0	0	0	0	0.967	0.979	0	0.651	0.999
RPL14	RPS3A	9606.ENSP00000379506	9606.ENSP00000346050	0	0	0	0	0.995	0.996	0	0.679	0.999
RPL14	RPSA	9606.ENSP00000379506	9606.ENSP00000346067	0	0	0	0	0.990	0.991	0	0.619	0.999
RPL14	RPL22L1	9606.ENSP00000379506	9606.ENSP00000346080	0	0	0	0	0.827	0.770	0	0.512	0.979
RPL14	RPL7A	9606.ENSP00000379506	9606.ENSP00000361076	0.051	0	0	0	0.994	0.997	0	0.556	0.999
RPL14	RPS4X	9606.ENSP00000379506	9606.ENSP00000362744	0.162	0	0	0	0.993	0.996	0	0.491	0.999
RPL14	RPS6	9606.ENSP00000379506	9606.ENSP00000369757	0	0	0	0	0.986	0.996	0	0.615	0.999
RPL14	RPS29	9606.ENSP00000379506	9606.ENSP00000379339	0.135	0	0	0	0.973	0.987	0	0.738	0.999
RPL14	RPL36A	9606.ENSP00000379506	9606.ENSP00000404375	0	0	0	0	0.810	0.952	0	0.589	0.995
RPL14	RPL28	9606.ENSP00000379506	9606.ENSP00000452909	0	0	0	0	0.992	0.995	0	0.624	0.999
RPL14	RPL30	9606.ENSP00000379506	9606.ENSP00000428085	0	0	0	0	0.992	0.997	0	0.621	0.999
RPL14	RPL32	9606.ENSP00000379506	9606.ENSP00000416429	0.171	0	0	0	0.983	0.995	0	0.634	0.999
RPL14	RPS10	9606.ENSP00000379506	9606.ENSP00000481646	0	0	0	0	0.942	0.990	0	0.676	0.999
RPL14	RPL26	9606.ENSP00000379506	9606.ENSP00000463784	0.111	0	0	0	0.991	0.983	0	0.739	0.999
RPL14	RPS8	9606.ENSP00000379506	9606.ENSP00000379888	0	0	0	0	0.995	0.997	0	0.925	0.999
RPL19	RPL22L1	9606.ENSP00000225430	9606.ENSP00000346080	0	0	0	0	0.777	0.766	0	0.480	0.970
RPL19	RPS15A	9606.ENSP00000225430	9606.ENSP00000318646	0.219	0	0.294	0	0.993	0.996	0	0.396	0.999
RPL19	RPS4X	9606.ENSP00000225430	9606.ENSP00000362744	0.295	0	0.261	0	0.996	0.996	0	0.611	0.999
RPL19	RPSA	9606.ENSP00000225430	9606.ENSP00000346067	0	0	0.265	0	0.984	0.993	0	0.505	0.999
RPL19	RPS29	9606.ENSP00000225430	9606.ENSP00000379339	0.219	0	0	0	0.997	0.995	0.900	0.664	0.999
RPL19	RPS3A	9606.ENSP00000225430	9606.ENSP00000346050	0	0	0.360	0	0.995	0.997	0	0.600	0.999
RPL19	RPS23	9606.ENSP00000225430	9606.ENSP00000296674	0	0	0.221	0	0.994	0.997	0.900	0.789	0.999
RPL19	RPS10	9606.ENSP00000225430	9606.ENSP00000481646	0	0	0	0	0.996	0.984	0	0.645	0.999
RPL19	RPL26	9606.ENSP00000225430	9606.ENSP00000463784	0.185	0	0.317	0	0.991	0.984	0	0.752	0.999
RPL19	RPLP1	9606.ENSP00000225430	9606.ENSP00000346037	0	0	0	0	0.992	0.996	0	0.732	0.999
RPL19	RPL28	9606.ENSP00000225430	9606.ENSP00000452909	0	0	0	0	0.992	0.995	0	0.729	0.999
RPL19	RPL30	9606.ENSP00000225430	9606.ENSP00000428085	0	0	0	0	0.995	0.997	0.900	0.890	0.999
RPL19	RPL32	9606.ENSP00000225430	9606.ENSP00000416429	0.295	0	0	0	0.978	0.997	0.900	0.742	0.999
RPL19	RPS27A	9606.ENSP00000225430	9606.ENSP00000272317	0	0	0	0	0.981	0.995	0	0.246	0.999
RPL19	RPL7A	9606.ENSP00000225430	9606.ENSP00000361076	0	0	0	0	0.995	0.997	0.720	0.793	0.999
RPL19	RPS9	9606.ENSP00000225430	9606.ENSP00000302896	0	0	0	0	0.976	0.997	0	0.719	0.999
RPL19	RPS8	9606.ENSP00000225430	9606.ENSP00000379888	0	0	0	0	0.997	0.997	0	0.772	0.999
RPL19	RPL36A	9606.ENSP00000225430	9606.ENSP00000404375	0	0	0	0	0.787	0.952	0.900	0.820	0.999
RPL19	RPL7	9606.ENSP00000225430	9606.ENSP00000339795	0.167	0	0	0	0.993	0.996	0	0.813	0.999
RPL19	RPL4	9606.ENSP00000225430	9606.ENSP00000311430	0	0	0.206	0	0.992	0.996	0	0.807	0.999
RPL19	RPS12	9606.ENSP00000225430	9606.ENSP00000230050	0	0	0	0	0.997	0.996	0	0.307	0.999
RPL19	RPS7	9606.ENSP00000225430	9606.ENSP00000339095	0	0	0	0	0.993	0.997	0	0.449	0.999
RPL19	RPS6	9606.ENSP00000225430	9606.ENSP00000369757	0	0	0	0	0.997	0.996	0	0.764	0.999
RPL19	RPS3	9606.ENSP00000225430	9606.ENSP00000278572	0.295	0	0.310	0	0.996	0.989	0	0.741	0.999
RPL22L1	RPS27A	9606.ENSP00000346080	9606.ENSP00000272317	0	0	0	0	0.828	0.782	0	0.106	0.963
RPL22L1	RPS3	9606.ENSP00000346080	9606.ENSP00000278572	0	0	0	0	0.682	0.787	0	0.539	0.966
RPL22L1	RPS23	9606.ENSP00000346080	9606.ENSP00000296674	0	0	0	0	0.817	0.767	0	0.593	0.981
RPL22L1	RPS9	9606.ENSP00000346080	9606.ENSP00000302896	0	0	0	0	0.760	0.780	0	0.612	0.977
RPL22L1	RPL4	9606.ENSP00000346080	9606.ENSP00000311430	0	0	0	0	0.819	0.770	0	0.495	0.977
RPL22L1	RPS15A	9606.ENSP00000346080	9606.ENSP00000318646	0	0	0	0	0.689	0.692	0	0.139	0.910
RPL22L1	RPS7	9606.ENSP00000346080	9606.ENSP00000339095	0	0	0	0	0.709	0.782	0	0.357	0.955
RPL22L1	RPLP1	9606.ENSP00000346080	9606.ENSP00000346037	0	0	0	0	0.824	0.787	0	0.425	0.976
RPL22L1	RPS3A	9606.ENSP00000346080	9606.ENSP00000346050	0	0	0	0	0.810	0.771	0	0.255	0.964
RPL22L1	RPSA	9606.ENSP00000346080	9606.ENSP00000346067	0	0	0	0	0.629	0.681	0	0.467	0.931
RPL22L1	RPS10	9606.ENSP00000346080	9606.ENSP00000481646	0	0	0	0	0.573	0.614	0	0.515	0.913
RPL22L1	RPL36A	9606.ENSP00000346080	9606.ENSP00000404375	0	0	0	0	0.660	0.633	0	0.517	0.934
RPL22L1	RPS4X	9606.ENSP00000346080	9606.ENSP00000362744	0	0	0	0	0.792	0.771	0	0.155	0.956
RPL22L1	RPL26	9606.ENSP00000346080	9606.ENSP00000463784	0	0	0	0	0.672	0.693	0	0.610	0.957
RPL22L1	RPL28	9606.ENSP00000346080	9606.ENSP00000452909	0	0	0	0	0.714	0.779	0	0.507	0.966
RPL22L1	RPL32	9606.ENSP00000346080	9606.ENSP00000416429	0	0	0	0	0.800	0.787	0	0.291	0.967
RPL22L1	RPS8	9606.ENSP00000346080	9606.ENSP00000379888	0	0	0	0	0.818	0.768	0	0.374	0.971
RPL22L1	RPS6	9606.ENSP00000346080	9606.ENSP00000369757	0	0	0	0	0.776	0.768	0	0.552	0.974
RPL22L1	RPL30	9606.ENSP00000346080	9606.ENSP00000428085	0	0	0	0	0.818	0.769	0	0.524	0.978
RPL22L1	RPS29	9606.ENSP00000346080	9606.ENSP00000379339	0	0	0	0	0.825	0.787	0	0.559	0.982
RPL26	RPS12	9606.ENSP00000463784	9606.ENSP00000230050	0.071	0	0	0	0.997	0.955	0	0.119	0.999
RPL26	RPS27A	9606.ENSP00000463784	9606.ENSP00000272317	0	0	0	0	0.970	0.955	0	0.479	0.999
RPL26	RPS3	9606.ENSP00000463784	9606.ENSP00000278572	0.185	0	0.362	0	0.991	0.956	0	0.802	0.999
RPL26	RPS23	9606.ENSP00000463784	9606.ENSP00000296674	0.135	0	0	0	0.993	0.955	0	0.712	0.999
RPL26	RPS9	9606.ENSP00000463784	9606.ENSP00000302896	0.135	0	0	0	0.977	0.983	0	0.672	0.999
RPL26	RPL4	9606.ENSP00000463784	9606.ENSP00000311430	0.111	0	0.262	0	0.990	0.981	0	0.686	0.999
RPL26	RPS15A	9606.ENSP00000463784	9606.ENSP00000318646	0.135	0	0.307	0	0.997	0.955	0	0.602	0.999
RPL26	RPS7	9606.ENSP00000463784	9606.ENSP00000339095	0	0	0	0	0.995	0.955	0	0.553	0.999
RPL26	RPL7	9606.ENSP00000463784	9606.ENSP00000339795	0.081	0	0	0	0.999	0.975	0	0.757	0.999
RPL26	RPLP1	9606.ENSP00000463784	9606.ENSP00000346037	0	0	0	0	0.956	0.955	0	0.364	0.998
RPL26	RPS3A	9606.ENSP00000463784	9606.ENSP00000346050	0	0	0.269	0	0.998	0.982	0	0.671	0.999
RPL26	RPSA	9606.ENSP00000463784	9606.ENSP00000346067	0.073	0	0.273	0	0.980	0.944	0	0.395	0.999
RPL26	RPL7A	9606.ENSP00000463784	9606.ENSP00000361076	0.071	0	0	0	0.994	0.985	0	0.611	0.999
RPL26	RPS4X	9606.ENSP00000463784	9606.ENSP00000362744	0.185	0	0.375	0	0.992	0.985	0	0.250	0.999
RPL26	RPS6	9606.ENSP00000463784	9606.ENSP00000369757	0	0	0	0	0.997	0.981	0	0.726	0.999
RPL26	RPS29	9606.ENSP00000463784	9606.ENSP00000379339	0.135	0	0	0	0.996	0.985	0	0.791	0.999
RPL26	RPS8	9606.ENSP00000463784	9606.ENSP00000379888	0	0	0	0	0.994	0.991	0	0.733	0.999
RPL26	RPL36A	9606.ENSP00000463784	9606.ENSP00000404375	0	0	0	0	0.738	0.941	0	0.570	0.992
RPL26	RPL32	9606.ENSP00000463784	9606.ENSP00000416429	0.185	0	0	0	0.917	0.987	0	0.332	0.999
RPL26	RPL30	9606.ENSP00000463784	9606.ENSP00000428085	0	0	0.268	0	0.995	0.985	0	0.737	0.999
RPL26	SRP54	9606.ENSP00000463784	9606.ENSP00000451818	0.055	0	0.201	0	0.205	0.868	0	0.190	0.924
RPL26	RPL28	9606.ENSP00000463784	9606.ENSP00000452909	0	0	0	0	0.990	0.955	0	0.682	0.999
RPL26	RPS10	9606.ENSP00000463784	9606.ENSP00000481646	0	0	0	0	0.991	0.944	0	0.814	0.999
RPL28	RPS12	9606.ENSP00000452909	9606.ENSP00000230050	0	0	0	0	0.992	0.987	0	0.262	0.999
RPL28	RPS27A	9606.ENSP00000452909	9606.ENSP00000272317	0	0	0	0	0.936	0.987	0	0.108	0.999
RPL28	RPS3	9606.ENSP00000452909	9606.ENSP00000278572	0	0	0	0	0.992	0.947	0	0.679	0.999
RPL28	RPS23	9606.ENSP00000452909	9606.ENSP00000296674	0	0	0	0	0.988	0.996	0	0.746	0.999
RPL28	RPS9	9606.ENSP00000452909	9606.ENSP00000302896	0	0	0	0	0.991	0.987	0	0.921	0.999
RPL28	RPL4	9606.ENSP00000452909	9606.ENSP00000311430	0	0	0	0	0.992	0.990	0	0.745	0.999
RPL28	RPS15A	9606.ENSP00000452909	9606.ENSP00000318646	0	0	0	0	0.991	0.994	0	0.506	0.999
RPL28	RPS7	9606.ENSP00000452909	9606.ENSP00000339095	0	0	0	0	0.992	0.987	0	0.204	0.999
RPL28	RPL7	9606.ENSP00000452909	9606.ENSP00000339795	0	0	0	0	0.992	0.995	0	0.648	0.999
RPL28	RPLP1	9606.ENSP00000452909	9606.ENSP00000346037	0	0	0	0	0.969	0.995	0	0.663	0.999
RPL28	RPS3A	9606.ENSP00000452909	9606.ENSP00000346050	0	0	0	0	0.992	0.995	0	0.458	0.999
RPL28	RPSA	9606.ENSP00000452909	9606.ENSP00000346067	0	0	0	0	0.989	0.955	0	0.394	0.999
RPL28	RPL7A	9606.ENSP00000452909	9606.ENSP00000361076	0	0	0	0	0.992	0.989	0	0.342	0.999
RPL28	RPS4X	9606.ENSP00000452909	9606.ENSP00000362744	0	0	0	0	0.992	0.987	0	0.287	0.999
RPL28	RPS6	9606.ENSP00000452909	9606.ENSP00000369757	0	0	0	0	0.992	0.995	0	0.511	0.999
RPL28	RPS29	9606.ENSP00000452909	9606.ENSP00000379339	0	0	0	0	0.986	0.990	0	0.946	0.999
RPL28	RPS8	9606.ENSP00000452909	9606.ENSP00000379888	0	0	0	0	0.992	0.989	0	0.588	0.999
RPL28	RPL36A	9606.ENSP00000452909	9606.ENSP00000404375	0	0	0	0	0.753	0.952	0	0.567	0.994
RPL28	RPL32	9606.ENSP00000452909	9606.ENSP00000416429	0	0	0	0	0.964	0.989	0	0.381	0.999
RPL28	RPL30	9606.ENSP00000452909	9606.ENSP00000428085	0	0	0	0	0.992	0.989	0	0.755	0.999
RPL28	RPS10	9606.ENSP00000452909	9606.ENSP00000481646	0	0	0	0	0.983	0.965	0	0.876	0.999
RPL30	RPS12	9606.ENSP00000428085	9606.ENSP00000230050	0	0	0	0	0.996	0.995	0	0.617	0.999
RPL30	RPS27A	9606.ENSP00000428085	9606.ENSP00000272317	0	0	0	0	0.984	0.987	0	0.290	0.999
RPL30	RPS3	9606.ENSP00000428085	9606.ENSP00000278572	0	0	0	0	0.997	0.986	0	0.694	0.999
RPL30	RPS23	9606.ENSP00000428085	9606.ENSP00000296674	0.219	0	0	0	0.981	0.997	0.900	0.763	0.999
RPL30	RPS9	9606.ENSP00000428085	9606.ENSP00000302896	0	0	0	0	0.978	0.996	0	0.732	0.999
RPL30	RPL4	9606.ENSP00000428085	9606.ENSP00000311430	0.183	0	0	0	0.994	0.997	0	0.819	0.999
RPL30	RPS15A	9606.ENSP00000428085	9606.ENSP00000318646	0	0	0	0	0.990	0.996	0	0.628	0.999
RPL30	RPS7	9606.ENSP00000428085	9606.ENSP00000339095	0	0	0	0	0.981	0.996	0	0.424	0.999
RPL30	RPL7	9606.ENSP00000428085	9606.ENSP00000339795	0	0	0	0	0.992	0.996	0	0.695	0.999
RPL30	RPLP1	9606.ENSP00000428085	9606.ENSP00000346037	0	0	0	0	0.956	0.993	0	0.667	0.999
RPL30	RPS3A	9606.ENSP00000428085	9606.ENSP00000346050	0	0	0	0	0.995	0.997	0	0.760	0.999
RPL30	RPSA	9606.ENSP00000428085	9606.ENSP00000346067	0	0	0	0	0.988	0.990	0	0.505	0.999
RPL30	RPL7A	9606.ENSP00000428085	9606.ENSP00000361076	0	0	0	0	0.991	0.997	0.720	0.826	0.999
RPL30	RPS4X	9606.ENSP00000428085	9606.ENSP00000362744	0	0	0.233	0	0.995	0.996	0	0.453	0.999
RPL30	RPS6	9606.ENSP00000428085	9606.ENSP00000369757	0	0	0	0	0.988	0.996	0	0.762	0.999
RPL30	RPS29	9606.ENSP00000428085	9606.ENSP00000379339	0	0	0	0	0.988	0.995	0.900	0.618	0.999
RPL30	RPS8	9606.ENSP00000428085	9606.ENSP00000379888	0	0	0	0	0.993	0.996	0	0.626	0.999
RPL30	RPL36A	9606.ENSP00000428085	9606.ENSP00000404375	0	0	0	0	0.842	0.952	0.900	0.809	0.999
RPL30	RPL32	9606.ENSP00000428085	9606.ENSP00000416429	0	0	0	0	0.975	0.990	0.900	0.792	0.999
RPL30	RPS10	9606.ENSP00000428085	9606.ENSP00000481646	0	0	0	0	0.982	0.984	0	0.628	0.999
RPL32	RPS12	9606.ENSP00000416429	9606.ENSP00000230050	0	0	0	0	0.979	0.987	0	0.190	0.999
RPL32	RPS27A	9606.ENSP00000416429	9606.ENSP00000272317	0	0	0	0	0.977	0.987	0	0.467	0.999
RPL32	RPS3	9606.ENSP00000416429	9606.ENSP00000278572	0.295	0	0	0	0.976	0.986	0	0.655	0.999
RPL32	RPS23	9606.ENSP00000416429	9606.ENSP00000296674	0	0	0	0	0.968	0.995	0.900	0.544	0.999
RPL32	RPS9	9606.ENSP00000416429	9606.ENSP00000302896	0	0	0	0	0.954	0.995	0	0.426	0.999
RPL32	RPL4	9606.ENSP00000416429	9606.ENSP00000311430	0	0	0	0	0.974	0.996	0	0.638	0.999
RPL32	RPS15A	9606.ENSP00000416429	9606.ENSP00000318646	0.219	0	0	0	0.967	0.996	0	0.406	0.999
RPL32	RPS7	9606.ENSP00000416429	9606.ENSP00000339095	0	0	0	0	0.969	0.987	0	0.146	0.999
RPL32	RPL7	9606.ENSP00000416429	9606.ENSP00000339795	0.167	0	0	0	0.962	0.996	0	0.519	0.999
RPL32	RPLP1	9606.ENSP00000416429	9606.ENSP00000346037	0	0	0	0	0.972	0.987	0	0.319	0.999
RPL32	RPS3A	9606.ENSP00000416429	9606.ENSP00000346050	0	0	0	0	0.970	0.997	0	0.396	0.999
RPL32	RPSA	9606.ENSP00000416429	9606.ENSP00000346067	0	0	0	0	0.946	0.982	0	0.134	0.999
RPL32	RPL7A	9606.ENSP00000416429	9606.ENSP00000361076	0	0	0	0	0.948	0.997	0.720	0.481	0.999
RPL32	RPS4X	9606.ENSP00000416429	9606.ENSP00000362744	0.295	0	0	0	0.968	0.996	0	0.508	0.999
RPL32	RPS6	9606.ENSP00000416429	9606.ENSP00000369757	0	0	0	0	0.981	0.996	0	0.631	0.999
RPL32	RPS29	9606.ENSP00000416429	9606.ENSP00000379339	0.219	0	0	0	0.981	0.987	0.900	0.394	0.999
RPL32	RPS8	9606.ENSP00000416429	9606.ENSP00000379888	0	0	0	0	0.987	0.996	0	0.673	0.999
RPL32	RPL36A	9606.ENSP00000416429	9606.ENSP00000404375	0	0	0	0	0.791	0.952	0.900	0.353	0.999
RPL32	RPS10	9606.ENSP00000416429	9606.ENSP00000481646	0	0	0	0	0.939	0.955	0	0.366	0.998
RPL36A	RPS12	9606.ENSP00000404375	9606.ENSP00000230050	0	0	0	0	0.766	0.952	0	0.148	0.989
RPL36A	RPS27A	9606.ENSP00000404375	9606.ENSP00000272317	0	0	0	0	0.797	0.952	0	0.357	0.993
RPL36A	RPS3	9606.ENSP00000404375	9606.ENSP00000278572	0	0	0	0	0.774	0.773	0	0.377	0.965
RPL36A	RPS23	9606.ENSP00000404375	9606.ENSP00000296674	0	0	0	0	0.839	0.952	0.900	0.489	0.999
RPL36A	RPS9	9606.ENSP00000404375	9606.ENSP00000302896	0	0	0	0	0.738	0.952	0	0.429	0.992
RPL36A	RPL4	9606.ENSP00000404375	9606.ENSP00000311430	0	0	0	0	0.748	0.952	0	0.248	0.990
RPL36A	RPS15A	9606.ENSP00000404375	9606.ENSP00000318646	0	0	0	0	0.867	0.951	0	0.523	0.996
RPL36A	RPS7	9606.ENSP00000404375	9606.ENSP00000339095	0	0	0	0	0.767	0.952	0	0.226	0.990
RPL36A	RPL7	9606.ENSP00000404375	9606.ENSP00000339795	0	0	0	0	0.725	0.952	0	0.425	0.991
RPL36A	RPLP1	9606.ENSP00000404375	9606.ENSP00000346037	0	0	0	0	0.759	0.952	0	0.477	0.993
RPL36A	RPS3A	9606.ENSP00000404375	9606.ENSP00000346050	0	0	0	0	0.846	0.952	0	0.606	0.996
RPL36A	RPSA	9606.ENSP00000404375	9606.ENSP00000346067	0	0	0	0	0.613	0.934	0	0.381	0.982
RPL36A	RPL7A	9606.ENSP00000404375	9606.ENSP00000361076	0	0	0	0	0.767	0.952	0.720	0.767	0.999
RPL36A	RPS4X	9606.ENSP00000404375	9606.ENSP00000362744	0	0	0	0	0.839	0.952	0	0.572	0.996
RPL36A	RPS6	9606.ENSP00000404375	9606.ENSP00000369757	0	0	0	0	0.791	0.953	0	0.637	0.996
RPL36A	RPS29	9606.ENSP00000404375	9606.ENSP00000379339	0	0	0	0	0.800	0.952	0.900	0.555	0.999
RPL36A	RPS8	9606.ENSP00000404375	9606.ENSP00000379888	0	0	0	0	0.855	0.952	0	0.560	0.996
RPL36A	RPS10	9606.ENSP00000404375	9606.ENSP00000481646	0	0	0	0	0.603	0.934	0	0.399	0.982
RPL4	RPS12	9606.ENSP00000311430	9606.ENSP00000230050	0.073	0	0	0	0.993	0.996	0	0.136	0.999
RPL4	RPS27A	9606.ENSP00000311430	9606.ENSP00000272317	0	0	0	0	0.955	0.995	0	0.320	0.999
RPL4	RPS3	9606.ENSP00000311430	9606.ENSP00000278572	0.185	0	0.203	0	0.996	0.987	0	0.820	0.999
RPL4	RPS23	9606.ENSP00000311430	9606.ENSP00000296674	0.135	0	0	0	0.979	0.996	0	0.778	0.999
RPL4	RPS9	9606.ENSP00000311430	9606.ENSP00000302896	0.135	0	0	0	0.989	0.996	0	0.696	0.999
RPL4	SRP54	9606.ENSP00000311430	9606.ENSP00000451818	0.141	0	0	0	0.166	0.864	0	0.249	0.917
RPL4	RPL7A	9606.ENSP00000311430	9606.ENSP00000361076	0.073	0	0	0	0.997	0.996	0	0.711	0.999
RPL4	RPS8	9606.ENSP00000311430	9606.ENSP00000379888	0	0	0	0	0.995	0.996	0	0.631	0.999
RPL4	RPL7	9606.ENSP00000311430	9606.ENSP00000339795	0.081	0	0	0	0.992	0.997	0	0.854	0.999
RPL4	RPS7	9606.ENSP00000311430	9606.ENSP00000339095	0	0	0	0	0.984	0.995	0	0.340	0.999
RPL4	RPS6	9606.ENSP00000311430	9606.ENSP00000369757	0	0	0	0	0.986	0.997	0	0.714	0.999
RPL4	RPS4X	9606.ENSP00000311430	9606.ENSP00000362744	0	0	0.201	0	0.993	0.997	0	0.622	0.999
RPL4	RPSA	9606.ENSP00000311430	9606.ENSP00000346067	0.081	0	0	0	0.991	0.993	0	0.504	0.999
RPL4	RPS15A	9606.ENSP00000311430	9606.ENSP00000318646	0.135	0	0	0	0.971	0.996	0	0.551	0.999
RPL4	RPS29	9606.ENSP00000311430	9606.ENSP00000379339	0.135	0	0	0	0.952	0.987	0	0.710	0.999
RPL4	RPS3A	9606.ENSP00000311430	9606.ENSP00000346050	0	0	0.200	0	0.995	0.996	0	0.641	0.999
RPL4	RPS10	9606.ENSP00000311430	9606.ENSP00000481646	0	0	0	0	0.966	0.981	0	0.641	0.999
RPL4	RPLP1	9606.ENSP00000311430	9606.ENSP00000346037	0	0	0	0	0.943	0.997	0	0.631	0.999
RPL7	RPS12	9606.ENSP00000339795	9606.ENSP00000230050	0.047	0.481	0	0	0.999	0.996	0	0.360	0.999
RPL7	RPS27A	9606.ENSP00000339795	9606.ENSP00000272317	0	0	0	0	0.968	0.987	0	0.424	0.999
RPL7	RPS3	9606.ENSP00000339795	9606.ENSP00000278572	0.167	0	0	0	0.995	0.983	0	0.784	0.999
RPL7	RPS23	9606.ENSP00000339795	9606.ENSP00000296674	0.111	0	0	0	0.995	0.996	0	0.716	0.999
RPL7	RPS9	9606.ENSP00000339795	9606.ENSP00000302896	0.111	0	0	0	0.986	0.995	0	0.624	0.999
RPL7	RPS15A	9606.ENSP00000339795	9606.ENSP00000318646	0.111	0	0	0	0.995	0.996	0	0.481	0.999
RPL7	RPS7	9606.ENSP00000339795	9606.ENSP00000339095	0	0	0	0	0.997	0.995	0	0.515	0.999
RPL7	RPS6	9606.ENSP00000339795	9606.ENSP00000369757	0	0	0	0	0.995	0.995	0	0.752	0.999
RPL7	RPLP1	9606.ENSP00000339795	9606.ENSP00000346037	0	0	0	0	0.965	0.995	0	0.609	0.999
RPL7	RPS8	9606.ENSP00000339795	9606.ENSP00000379888	0	0	0	0	0.993	0.997	0	0.804	0.999
RPL7	RPL7A	9606.ENSP00000339795	9606.ENSP00000361076	0.047	0	0	0	0.997	0.996	0	0.641	0.999
RPL7	RPS10	9606.ENSP00000339795	9606.ENSP00000481646	0	0	0	0	0.992	0.985	0	0.673	0.999
RPL7	RPS29	9606.ENSP00000339795	9606.ENSP00000379339	0.111	0	0	0	0.988	0.992	0	0.748	0.999
RPL7	RPS3A	9606.ENSP00000339795	9606.ENSP00000346050	0	0	0	0	0.998	0.996	0	0.677	0.999
RPL7	RPS4X	9606.ENSP00000339795	9606.ENSP00000362744	0.167	0	0.205	0	0.997	0.996	0	0.687	0.999
RPL7	RPSA	9606.ENSP00000339795	9606.ENSP00000346067	0	0	0	0	0.990	0.992	0	0.589	0.999
RPL7A	RPS12	9606.ENSP00000361076	9606.ENSP00000230050	0	0	0	0	0.997	0.997	0	0.221	0.999
RPL7A	RPS27A	9606.ENSP00000361076	9606.ENSP00000272317	0	0	0	0	0.954	0.995	0	0.574	0.999
RPL7A	RPS3	9606.ENSP00000361076	9606.ENSP00000278572	0.111	0	0	0	0.996	0.989	0	0.533	0.999
RPL7A	RPS23	9606.ENSP00000361076	9606.ENSP00000296674	0.078	0	0	0	0.993	0.997	0.720	0.636	0.999
RPL7A	RPS9	9606.ENSP00000361076	9606.ENSP00000302896	0.077	0	0	0	0.991	0.997	0	0.184	0.999
RPL7A	RPS15A	9606.ENSP00000361076	9606.ENSP00000318646	0.070	0	0	0	0.992	0.997	0	0.549	0.999
RPL7A	RPS7	9606.ENSP00000361076	9606.ENSP00000339095	0	0	0	0	0.994	0.995	0	0.208	0.999
RPL7A	RPLP1	9606.ENSP00000361076	9606.ENSP00000346037	0	0	0	0	0.977	0.997	0	0.305	0.999
RPL7A	RPS3A	9606.ENSP00000361076	9606.ENSP00000346050	0	0	0	0	0.995	0.996	0	0.766	0.999
RPL7A	RPSA	9606.ENSP00000361076	9606.ENSP00000346067	0.070	0	0	0	0.993	0.993	0	0.448	0.999
RPL7A	RPS10	9606.ENSP00000361076	9606.ENSP00000481646	0	0	0	0	0.994	0.983	0	0.183	0.999
RPL7A	RPS8	9606.ENSP00000361076	9606.ENSP00000379888	0	0	0	0	0.994	0.997	0	0.801	0.999
RPL7A	RPS4X	9606.ENSP00000361076	9606.ENSP00000362744	0	0	0	0	0.997	0.996	0	0.603	0.999
RPL7A	RPS29	9606.ENSP00000361076	9606.ENSP00000379339	0.074	0	0	0	0.989	0.987	0.720	0.420	0.999
RPL7A	RPS6	9606.ENSP00000361076	9606.ENSP00000369757	0.116	0	0	0	0.995	0.997	0	0.581	0.999
RPLP1	RPS12	9606.ENSP00000346037	9606.ENSP00000230050	0	0	0	0	0.992	0.987	0	0.302	0.999
RPLP1	RPS27A	9606.ENSP00000346037	9606.ENSP00000272317	0	0	0	0	0.973	0.995	0	0.266	0.999
RPLP1	RPS3	9606.ENSP00000346037	9606.ENSP00000278572	0	0	0	0	0.976	0.985	0	0.495	0.999
RPLP1	RPS23	9606.ENSP00000346037	9606.ENSP00000296674	0	0	0	0	0.969	0.996	0	0.494	0.999
RPLP1	RPS9	9606.ENSP00000346037	9606.ENSP00000302896	0	0	0	0	0.913	0.987	0	0.675	0.999
RPLP1	RPS15A	9606.ENSP00000346037	9606.ENSP00000318646	0	0	0	0	0.989	0.996	0	0.636	0.999
RPLP1	RPS7	9606.ENSP00000346037	9606.ENSP00000339095	0	0	0	0	0.990	0.996	0	0.202	0.999
